room_id,day,period,course_count,course_ids
AI관-100,수,9,2,14458001;15989001
AI관-301,월,4,2,14457006;14461003
AI관-301,화,5,3,14446001;14461002;14462001
AI관-301,화,6,3,14446001;14454001;14461003
AI관-301,목,5,2,14454001;14455004
AI관-301,토,5,2,AIB04002;AIB06002
AI관-301,토,6,2,AIB04002;AIB06002
AI관-301,토,7,2,AIB04002;AIB06002
AI관-301,토,8,2,AIB04002;AIB06002
AI관-301,일,5,2,AIB04002;AIB06002
AI관-301,일,6,2,AIB04002;AIB06002
AI관-301,일,7,2,AIB04002;AIB06002
AI관-301,일,8,2,AIB04002;AIB06002
AI관-301,일,9,2,AIB04002;AIB06002
AI관-409,화,4,2,14269001;14276001
AI관-409,수,5,2,14260001;14271001
AI관-410,월,7,2,08357001;10429001
AI관-410,월,8,2,08357001;10429001
AI관-411,월,5,2,14448003;14457004
AI관-411,화,7,2,14457002;14467004
AI관-411,수,7,2,14448003;14467005
AI관-411,목,3,2,14455001;14467005
AI관-411,목,4,2,14455002;14455005
AI관-411,목,5,2,14457002;14467003
AI관-411,토,5,2,AIB02002;AIB05002
AI관-411,토,6,2,AIB02002;AIB05002
AI관-411,토,7,2,AIB02002;AIB05002
AI관-411,토,8,2,AIB02002;AIB05002
AI관-411,일,5,2,AIB02002;AIB05002
AI관-411,일,6,2,AIB02002;AIB05002
AI관-411,일,7,2,AIB02002;AIB05002
AI관-411,일,8,2,AIB02002;AIB05002
AI관-411,일,9,2,AIB02002;AIB05002
AI관-412,월,3,2,13966001;14722001
AI관-412,월,4,2,14457006;14722001
AI관-412,월,6,2,13966002;14448005
AI관-412,수,3,2,14455006;14722002
AI관-412,수,4,2,14455003;14722002
AI관-412,수,5,2,14455004;14467002
AI관-412,수,6,4,13966001;14266001;14455004;14467002
AI관-412,수,7,2,13966002;14266001
AI관-412,목,3,2,14457006;14722001
AI관-412,목,4,2,14446001;14722002
AI관-413,월,3,2,13966001;14461003
AI관-413,월,5,2,13966002;14457001
AI관-413,월,6,2,13966002;14457001
AI관-413,화,2,2,14455006;14462002
AI관-413,화,3,3,14455001;14455003;14462002
AI관-413,화,4,3,14455001;14455003;14462004
AI관-413,화,5,2,14455002;14462004
AI관-413,화,6,2,14455002;14461003
AI관-413,수,2,2,14461004;14462003
AI관-413,수,4,2,14455003;14467001
AI관-413,수,5,2,14457001;14467004
AI관-413,수,6,2,13966001;14467004
AI관-413,목,4,2,14455002;14462004
AI관-414,월,3,2,14244001;14722001
AI관-414,월,4,2,14244001;14722001
AI관-414,월,5,3,14244002;14448003;14457004
AI관-414,월,6,3,14244002;14448005;14457004
AI관-414,화,4,2,14462001;14462004
AI관-414,화,5,2,14462001;14462004
AI관-414,화,7,2,14467002;14856001
AI관-414,수,2,2,14448002;14462001
AI관-414,수,4,3,13978001;14467001;14467003
AI관-414,수,5,2,13978001;14467002
AI관-414,수,7,2,14244001;14448003
AI관-414,수,8,2,14244002;14448003
AI관-414,목,5,2,14467001;14467003
AI관-414,목,6,3,14448005;14467001;14467003
AI관-503,목,3,2,14273001;14403001
AI관-504,월,1,2,15187001;15187004
AI관-504,월,2,2,15187001;15187004
AI관-505,목,2,2,06548003;15187001
AI관-509,월,2,2,13978001;14401001
AI관-511,화,7,2,10380002;14457002
AI관-511,수,2,2,14448004;14455005
AI관-511,수,3,2,14448004;14455005
AI관-511,수,7,2,14244001;14467005
AI관-511,수,8,3,14244002;14270001;14457003
AI관-511,목,2,3,14271001;14461001;14467005
AI관-511,목,3,2,14461001;14467005
