course_id,room_id,day,period,capacity,source_row
15433001,AI관-100,월,1,0,3
15433001,AI관-100,월,2,0,3
15433001,AI관-100,월,3,0,3
15433001,AI관-100,월,4,0,3
15433001,AI관-100,월,8,0,3
15433001,AI관-100,월,9,0,3
15433001,AI관-100,화,5,0,3
15433001,AI관-100,화,6,0,3
15989001,AI관-100,화,7,46,4
15989001,AI관-100,화,8,46,4
15433001,AI관-100,수,1,0,3
15433001,AI관-100,수,2,0,3
15433001,AI관-100,수,5,0,3
15433001,AI관-100,수,6,0,3
14458001,AI관-100,수,8,90,2
14458001,AI관-100,수,9,90,2
15989001,AI관-100,수,9,46,4
14458001,AI관-100,수,10,90,2
15978143,AI관-206,월,10,20,5
14809001,AI관-206,목,5,20,6
14809001,AI관-206,목,6,20,6
14809001,AI관-206,목,7,20,6
14809001,AI관-206,목,8,20,6
14279001,AI관-208,월,3,46,11
14279001,AI관-208,월,4,46,11
14262001,AI관-208,월,5,46,9
14268001,AI관-208,월,7,40,10
14268001,AI관-208,월,8,40,10
15978033,AI관-208,월,10,20,8
15816004,AI관-208,화,1,42,12
15816004,AI관-208,화,2,42,12
15816004,AI관-208,화,3,42,12
15816004,AI관-208,화,4,42,12
07767001,AI관-208,화,5,40,7
07767001,AI관-208,화,6,40,7
07767001,AI관-208,화,7,40,7
07767001,AI관-208,화,8,40,7
14262001,AI관-208,수,1,46,9
14262001,AI관-208,수,2,46,9
14279001,AI관-208,수,4,46,11
14279001,AI관-208,수,5,46,11
14268001,AI관-208,수,6,40,10
14268001,AI관-208,수,7,40,10
06823001,AI관-209,월,1,50,19
06823001,AI관-209,월,2,50,19
06823002,AI관-209,월,3,50,20
06823002,AI관-209,월,4,50,20
06823005,AI관-209,월,5,50,21
06823006,AI관-209,월,6,50,22
06823006,AI관-209,월,7,50,22
15978031,AI관-209,월,10,20,13
06823005,AI관-209,화,1,50,21
06823005,AI관-209,화,2,50,21
06823006,AI관-209,화,3,50,22
14230004,AI관-209,화,4,50,14
14230004,AI관-209,화,5,50,14
14230004,AI관-209,화,6,50,14
14230005,AI관-209,화,7,50,15
14230005,AI관-209,화,8,50,15
14230005,AI관-209,화,9,50,15
13970003,AI관-209,수,1,50,24
13970003,AI관-209,수,2,50,24
13970003,AI관-209,수,3,50,24
03671006,AI관-209,수,6,50,18
03671006,AI관-209,수,7,50,18
03671006,AI관-209,수,8,50,18
13119003,AI관-209,목,1,50,23
13119003,AI관-209,목,2,50,23
13119003,AI관-209,목,3,50,23
03671003,AI관-209,목,4,50,16
03671004,AI관-209,목,5,50,17
14802003,AI관-209,목,6,50,25
14802003,AI관-209,목,7,50,25
06823001,AI관-209,금,1,50,19
06823002,AI관-209,금,2,50,20
03671003,AI관-209,금,4,50,16
03671003,AI관-209,금,5,50,16
03671004,AI관-209,금,6,50,17
03671004,AI관-209,금,7,50,17
14802003,AI관-209,금,8,50,25
15427001,AI관-210,월,3,34,34
15427001,AI관-210,월,4,34,34
15427001,AI관-210,월,5,34,34
15423001,AI관-210,월,6,34,26
15423001,AI관-210,월,7,34,26
15423002,AI관-210,월,8,34,27
15423002,AI관-210,월,9,34,27
15978156,AI관-210,월,10,20,28
14413001,AI관-210,화,2,34,32
14413001,AI관-210,화,3,34,32
15423001,AI관-210,화,6,34,26
15423002,AI관-210,화,7,34,27
14409001,AI관-210,화,8,34,31
14409001,AI관-210,수,6,34,31
14409001,AI관-210,수,7,34,31
14413001,AI관-210,목,2,34,32
14406001,AI관-210,목,5,34,30
