source_row,course_id,raw_time,room_id,building,floor,room_number,capacity,raw_room
2,14458001,"수8 ,수9 ,수10",AI관-100,AI관,1,100,90,AI관-100
3,15433001,"월1 ,월2 ,월3 ,월4 ,월8 ,월9 ,화5 ,화6 ,수1 ,수2 ,수5 ,수6",AI관-100,AI관,1,100,0,AI관-100
4,15989001,"화7 ,화8 ,수9",AI관-100,AI관,1,100,46,"AI관-100,AI관-303"
6,14809001,"목5 ,목6 ,목7 ,목8",AI관-206,AI관,2,206,20,AI관-206
5,15978143,월10,AI관-206,AI관,2,206,20,AI관-206
7,07767001,"화5 ,화6 ,화7 ,화8",AI관-208,AI관,2,208,40,AI관-208
9,14262001,"월5 ,수1 ,수2",AI관-208,AI관,2,208,46,AI관-208
10,14268001,"월7 ,월8 ,수6 ,수7",AI관-208,AI관,2,208,40,AI관-208
11,14279001,"월3 ,월4 ,수4 ,수5",AI관-208,AI관,2,208,46,AI관-208
12,15816004,"화1 ,화2 ,화3 ,화4",AI관-208,AI관,2,208,42,AI관-208
8,15978033,월10,AI관-208,AI관,2,208,20,AI관-208
16,03671003,"목4 ,금4 ,금5",AI관-209,AI관,2,209,50,AI관-209
17,03671004,"목5 ,금6 ,금7",AI관-209,AI관,2,209,50,AI관-209
18,03671006,"수6 ,수7 ,수8",AI관-209,AI관,2,209,50,AI관-209
19,06823001,"월1 ,월2 ,금1",AI관-209,AI관,2,209,50,AI관-209
20,06823002,"월3 ,월4 ,금2",AI관-209,AI관,2,209,50,AI관-209
21,06823005,"월5 ,화1 ,화2",AI관-209,AI관,2,209,50,AI관-209
22,06823006,"월6 ,월7 ,화3",AI관-209,AI관,2,209,50,AI관-209
23,13119003,"목1 ,목2 ,목3",AI관-209,AI관,2,209,50,AI관-209
24,13970003,"수1 ,수2 ,수3",AI관-209,AI관,2,209,50,AI관-209
14,14230004,"화4 ,화5 ,화6",AI관-209,AI관,2,209,50,AI관-209
15,14230005,"화7 ,화8 ,화9",AI관-209,AI관,2,209,50,AI관-209
25,14802003,"목6 ,목7 ,금8",AI관-209,AI관,2,209,50,AI관-209
13,15978031,월10,AI관-209,AI관,2,209,20,AI관-209
30,14406001,"목5 ,목6 ,목7 ,목8",AI관-210,AI관,2,210,34,AI관-210
31,14409001,"화8 ,수6 ,수7",AI관-210,AI관,2,210,34,AI관-210
32,14413001,"화2 ,화3 ,목2",AI관-210,AI관,2,210,34,AI관-210
29,14415001,"금1 ,금2 ,금3 ,금4",AI관-210,AI관,2,210,34,AI관-210
26,15423001,"월6 ,월7 ,화6",AI관-210,AI관,2,210,34,AI관-210
27,15423002,"월8 ,월9 ,화7",AI관-210,AI관,2,210,34,AI관-210
33,15426001,"금5 ,금6 ,금7 ,금8",AI관-210,AI관,2,210,34,AI관-210
34,15427001,"월3 ,월4 ,월5",AI관-210,AI관,2,210,34,AI관-210
28,15978156,월10,AI관-210,AI관,2,210,20,AI관-210
36,10380003,"화3 ,수3 ,수4",AI관-301,AI관,3,301,81,AI관-301
39,14263001,"월6 ,화1 ,화2",AI관-301,AI관,3,301,60,AI관-301
137,14446001,"화5 ,화6 ,목4",AI관-301,AI관,3,301,55,"AI관-412,AI관-301"
40,14454001,"화6 ,목5 ,목6",AI관-301,AI관,3,301,80,AI관-301
41,14454002,"화7 ,목7 ,목8",AI관-301,AI관,3,301,82,AI관-301
45,14455004,"수5 ,수6 ,목5",AI관-301,AI관,3,301,55,"AI관-301,AI관-412"
42,14457005,"화8 ,수7 ,수8",AI관-301,AI관,3,301,80,AI관-301
138,14457006,"월4 ,목2 ,목3",AI관-301,AI관,3,301,62,"AI관-412,AI관-301"
37,14461002,"월7 ,월8 ,화5",AI관-301,AI관,3,301,80,AI관-301
46,14461003,"월3 ,월4 ,화6",AI관-301,AI관,3,301,65,"AI관-301,AI관-413"
157,14462001,"화4 ,화5 ,수2",AI관-301,AI관,3,301,60,"AI관-414,AI관-301"
38,15190002,"금10 ,금11 ,금12",AI관-301,AI관,3,301,80,AI관-301
35,15978134,월10,AI관-301,AI관,3,301,25,AI관-301
43,AIB04002,"토5 ,토6 ,토7 ,토8 ,일5 ,일6 ,일7 ,일8 ,일9",AI관-301,AI관,3,301,30,AI관-301
44,AIB06002,"토5 ,토6 ,토7 ,토8 ,일5 ,일6 ,일7 ,일8 ,일9",AI관-301,AI관,3,301,30,AI관-301
48,13119004,"금1 ,금2 ,금3",AI관-302,AI관,3,302,40,AI관-302
49,13119007,"목5 ,금5 ,금6",AI관-302,AI관,3,302,40,AI관-302
